Product Name,Year Month,Warehouse Inventory,Inventory Cost Per Unit,Storage Cost
Perfect Fitness Perfect Rip Deck,201712,0,0.69517,0.0
Nike Men's Dri-FIT Victory Golf Polo,201712,2,1.29291,2.59
O'Brien Men's Neoprene Life Vest,201712,0,0.56531,0.0
Nike Men's Free 5.0+ Running Shoe,201712,1,1.26321,1.26
Under Armour Girls' Toddler Spine Surge Runni,201712,0,1.47648,0.0
Nike Men's CJ Elite 2 TD Football Cleat,201712,0,0.69591,0.0
Field & Stream Sportsman 16 Gun Fire Safe,201712,0,1.39148,0.0
Pelican Sunstream 100 Kayak,201712,0,0.20291,0.0
Diamondback Women's Serene Classic Comfort Bi,201712,0,1.54601,0.0
ENO Atlas Hammock Straps,201712,0,0.48119,0.0
Nike Men's Comfort 2 Slide,201712,0,1.96183,0.0
adidas Youth Germany Black/Red Away Match Soc,201712,0,2.07809,0.0
Team Golf St. Louis Cardinals Putter Grip,201712,0,0.6607,0.0
LIJA Women's Eyelet Sleeveless Golf Polo,201712,0,1.50903,0.0
adidas Men's F10 Messi TRX FG Soccer Cleat,201712,0,1.66425,0.0
Glove It Women's Imperial Golf Glove,201712,0,1.56399,0.0
Glove It Imperial Golf Towel,201712,0,2.24724,0.0
Bridgestone e6 Straight Distance NFL Carolina,201712,0,1.06684,0.0
Glove It Women's Mod Oval 3-Zip Carry All Gol,201712,2,2.16158,4.32
Columbia Men's PFG Anchor Tough T-Shirt,201712,0,0.47667,0.0
Under Armour Women's Ignite Slide,201712,2,1.00809,2.02
Team Golf Tennessee Volunteers Putter Grip,201712,0,0.35118,0.0
Titleist Pro V1x High Numbers Personalized Go,201712,0,0.75101,0.0
Nike Men's Deutschland Weltmeister Winners Bl,201712,0,1.00566,0.0
Bridgestone e6 Straight Distance NFL San Dieg,201712,0,0.20643,0.0
Nike Women's Tempo Shorts,201712,0,1.62777,0.0
Team Golf Texas Longhorns Putter Grip,201712,2,2.24605,4.49
Hirzl Women's Soffft Flex Golf Glove,201712,0,0.5795,0.0
Clicgear 8.0 Shoe Brush,201712,0,1.39674,0.0
Hirzl Women's Hybrid Golf Glove,201712,0,1.06069,0.0
Team Golf Pittsburgh Steelers Putter Grip,201712,0,0.43135,0.0
Top Flite Women's 2017 XL Hybrid,201712,0,0.55428,0.0
Glove It Urban Brick Golf Towel,201712,0,0.70054,0.0
Nike Dri-FIT Crew Sock 6 Pack,201712,0,1.5948,0.0
TYR Boys' Team Digi Jammer,201712,0,0.63609,0.0
Team Golf San Francisco Giants Putter Grip,201712,0,1.88895,0.0
Clicgear Rovic Cooler Bag,201712,0,1.29098,0.0
Hirzl Men's Hybrid Golf Glove,201712,0,1.06017,0.0
Titleist Pro V1x Golf Balls,201712,0,0.24553,0.0
adidas Men's Germany Black Crest Away Tee,201712,0,1.27932,0.0
Titleist Pro V1 High Numbers Personalized Gol,201712,0,0.94013,0.0
Under Armour Women's Micro G Skulpt Running S,201712,0,2.31993,0.0
Under Armour Hustle Storm Medium Duffle Bag,201712,1,1.0308,1.03
Under Armour Women's Ignite PIP VI Slide,201712,0,1.88977,0.0
Bag Boy Beverage Holder,201712,0,0.73373,0.0
Under Armour Men's Tech II T-Shirt,201712,0,0.88756,0.0
Team Golf New England Patriots Putter Grip,201712,0,1.88503,0.0
Under Armour Men's Compression EV SL Slide,201712,0,0.77155,0.0
Bridgestone e6 Straight Distance NFL Tennesse,201712,0,0.83715,0.0
Glove It Women's Mod Oval Golf Glove,201712,0,0.79216,0.0
Titleist Pro V1x High Numbers Golf Balls,201712,0,0.4519,0.0
Nike Women's Legend V-Neck T-Shirt,201712,0,1.72672,0.0
Under Armour Kids' Mercenary Slide,201712,0,0.30745,0.0
adidas Kids' F5 Messi FG Soccer Cleat,201712,0,0.28923,0.0
Children's heaters,201712,0,0.33793,0.0
Web Camera,201712,0,1.1257,0.0
Dell Laptop,201712,14,1.56369,21.89
Porcelain crafts,201712,0,1.27555,0.0
Sports Books,201712,2,0.99933,2.0
DVDs,201712,64,2.03553,130.27
Industrial consumer electronics,201712,0,1.98371,0.0
Fighting video games,201712,4,1.87778,7.51
Summer dresses,201712,13,1.3625,17.71
Lawn mower,201712,4,1.34376,5.38
Adult dog supplies,201712,2,2.07928,4.16
Rock music,201712,16,2.26272,36.2
Elevation Training Mask 2.0,201712,0,2.01992,0.0
LIJA Women's Mid-Length Panel Golf Shorts,201712,0,1.87068,0.0
Toys,201712,133,0.19512,25.95
Brooks Women's Ghost 6 Running Shoe,201712,0,0.87784,0.0
Bag Boy M330 Push Cart,201712,0,0.89532,0.0
Merrell Women's Grassbow Sport Hiking Shoe,201712,0,2.33326,0.0
Nike Men's Free TR 5.0 TB Training Shoe,201712,0,1.64028,0.0
Nike Women's Free 5.0 TR FIT PRT 4 Training S,201712,0,0.76304,0.0
First aid kit,201712,18,0.18893,3.4
CDs of rock,201712,0,1.2039,0.0
Polar FT4 Heart Rate Monitor,201712,0,1.91129,0.0
LIJA Women's Argyle Golf Polo,201712,0,0.42388,0.0
TaylorMade White Smoke IN-12 Putter,201712,0,1.5587,0.0
Fitbit The One Wireless Activity & Sleep Trac,201712,0,0.35075,0.0
Nike Kids' Grade School KD VI Basketball Shoe,201712,0,1.44465,0.0
The North Face Women's Recon Backpack,201712,0,0.28817,0.0
Smart watch,201712,42,1.58784,66.69
Baby sweater,201712,0,2.06503,0.0
MDGolf Pittsburgh Penguins Putter,201712,0,1.1476,0.0
Men's gala suit,201712,3,1.57465,4.72
Merrell Men's All Out Flash Trail Running Sho,201712,0,0.24096,0.0
Garmin Approach S3 Golf GPS Watch,201712,0,1.09327,0.0
LIJA Women's Button Golf Dress,201712,0,1.1183,0.0
Cleveland Golf Women's 588 RTX CB Satin Chrom,201712,0,1.26731,0.0
